timestamp,open,high,low,close
1680814800,27975.849609375,28052.80078125,27957.0390625,27989.16015625
1680818400,27989.150390625,28008.4296875,27900,28007.859375
1680822000,28007.869140625,28055.619140625,28007.859375,28033.8203125
1680825600,28033.830078125,28100,27998.0390625,28097.990234375
1680829200,28097.990234375,28098.19921875,28036.630859375,28056.509765625
1680832800,28056.509765625,28072.939453125,27926.51953125,28017.220703125
1680836400,28017.220703125,28049.83984375,27979.75,28038.66015625
1680840000,28038.669921875,28062.73046875,27999.900390625,28021.76953125
1680843600,28021.76953125,28021.76953125,27863.23046875,27980
1680847200,27980,27984.75,27900,27960.08984375
1680850800,27960.08984375,27960.099609375,27766.939453125,27839.779296875
1680854400,27839.7890625,27937.8203125,27785,27816.759765625
1680858000,27816.759765625,27894.990234375,27790.099609375,27869.48046875
1680861600,27869.48046875,27961.669921875,27861.380859375,27933.359375
1680865200,27933.359375,27935.98046875,27800,27840.900390625
1680868800,27840.890625,27981,27800,27892.630859375
1680872400,27892.630859375,27929.369140625,27833.970703125,27896.9296875
1680876000,27896.919921875,27984.75,27893.259765625,27914.640625
1680879600,27914.640625,27954.509765625,27907.689453125,27944.099609375
1680883200,27944.08984375,27953.470703125,27856,27879.30078125
1680886800,27879.30078125,27941.109375,27879.30078125,27911.509765625
1680890400,27911.5,27930,27874.130859375,27891.76953125
1680894000,27891.759765625,27905.150390625,27869.259765625,27897.51953125
1680897600,27897.509765625,27922.990234375,27839.01953125,27864.19921875
1680901200,27864.2109375,27909.26953125,27858.30078125,27891.130859375
1680904800,27891.130859375,27980.740234375,27864.990234375,27955.990234375
1680908400,27955.990234375,27973.0390625,27894.3203125,27906.330078125
1680912000,27906.33984375,27919.609375,27859.01953125,27880.26953125
1680915600,27880.259765625,27935.150390625,27880.01953125,27903.240234375
1680919200,27903.240234375,27965.759765625,27902.94921875,27956.759765625
1680922800,27956.76953125,28059.390625,27939.4609375,28023.390625
1680926400,28023.390625,28040.720703125,27974.140625,27984.98046875
1680930000,27984.970703125,28154.990234375,27979.029296875,28140.919921875
1680933600,28140.91015625,28152.5703125,28086.279296875,28113.119140625
1680937200,28113.130859375,28122.380859375,28063.890625,28086.220703125
1680940800,28086.220703125,28114.939453125,28018.609375,28025.529296875
1680944400,28025.529296875,28062.279296875,28013.150390625,28032.490234375
1680948000,28032.490234375,28034.6796875,27994.69921875,28011.619140625
1680951600,28011.609375,28032.640625,27990.5703125,28016.08984375
1680955200,28016.08984375,28032.080078125,27950,27987.5703125
1680958800,27987.580078125,28046.259765625,27970.080078125,28020.66015625
1680962400,28020.66015625,28057,28010.400390625,28027.669921875
1680966000,28027.66015625,28028.69921875,27985.380859375,28014.69921875
1680969600,28014.7109375,28020,27995.9296875,28002.529296875
1680973200,28002.51953125,28017.0390625,27897.259765625,27935.109375
1680976800,27935.109375,27955,27872.109375,27904.380859375
1680980400,27904.369140625,27952.169921875,27875.9609375,27924.130859375
1680984000,27924.130859375,27955,27911.41015625,27911.689453125
1680987600,27911.69921875,27935.08984375,27900.439453125,27929.80078125
1680991200,27929.80078125,27951,27885.859375,27937.76953125
1680994800,27937.76953125,27987.41015625,27927.7109375,27938.380859375
1680998400,27938.380859375,28075,27924.900390625,28036.759765625
1681002000,28036.759765625,28082.099609375,28030,28077.779296875
1681005600,28077.779296875,28083.44921875,28031.080078125,28036.30078125
1681009200,28036.310546875,28054.009765625,28018.630859375,28027.7109375
1681012800,28027.7109375,28041.060546875,28010,28037.390625
1681016400,28037.380859375,28067.4609375,27991.4296875,27999.25
1681020000,27999.25,27999.25,27851,27880.130859375
1681023600,27880.119140625,27915.33984375,27840.509765625,27903.01953125
